Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Statutory,Type of library,Year Opened,Year Closed,Monday staffed hours,Tuesday staffed Hours,Wednesday Staffed hours,Thursday Staffed hours,Friday Staffed hours,Saturday Staffed hours,Sunday Staffed hours,Monday Unstaffed hours,Tuesday Unstaffed hours,Wednesday Unstaffed hours,Thursday Unstaffed hours,Friday Unstaffed hours,Saturday Unstaffed hours,Sunday Unstaffed hours,Special Hours,Co-located,Co-located with,Notes,URL,Email Address,,,,,,,,,,,,,,,,,,,,,
Cambridgeshire,Cottenham Library,Margett Square,,Cottenham,CB24 8QY,Yes,Local Authority Service,1994,,4pm-7pm,10am-5pm,10am-1pm,10am-5pm,Closed,10am-1pm,Closed,,,,,,,,,,,,https://www.cambridgeshire.gov.uk/directory/listings/cottenham-library,your.library@cambridgeshire.gov.uk,,,,,,,,,,,,,,,,,,,,,
Cambridgeshire,Ely Library,6 The Cloisters,,Ely,CB7 4ZH,Yes,Local Authority Service,2000,,9.30am-1pm,9.30am-5pm,9.30am-5pm,9.30am-7pm,9.30am-5pm,9.30am-4pm,Closed,,,,,,,,,,,,https://www.cambridgeshire.gov.uk/directory/listings/ely-library,your.library@cambridgeshire.gov.uk,,,,,,,,,,,,,,,,,,,,,
Cambridgeshire,Fulbourn Village Library,The Swifts,Haggis Gap,"Fulbourn, Cambridge",CB21 5HD,Yes,Local Authority Service,2010,,3pm-5pm,3pm-5pm,5pm-7pm,"10am-12pm, 3pm-5pm",3pm-5pm,10am-12pm,Closed,,,,,,,,,Yes,Community Centre,,https://www.cambridgeshire.gov.uk/directory/listings/fulbourn-village-library,your.library@cambridgeshire.gov.uk,,,,,,,,,,,,,,,,,,,,,
Cambridgeshire,Gamlingay Library,The Eco Hub,Stocks Lane,Gamlingay,SG19 3JR,Yes,Local Authority Service,2010,,"9am-10.30am, 2pm-8pm",9.15am-12.15pm,12.30pm-3.15pm,4pm-7pm,10am-12pm,9.30am-12.30pm,Closed,,,,,,,,,Yes,Community Centre,,https://www.cambridgeshire.gov.uk/directory/listings/gamlingay-library,your.library@cambridgeshire.gov.uk,,,,,,,,,,,,,,,,,,,,,
Cambridgeshire,Great Shelford Library,Woodlards Lane,Great Shelford,Cambridge,CB22 5LZ,Yes,Local Authority Service,2009,,3pm-7pm,"10am-1pm, 2pm-5pm",10am-1pm,Closed,"10am-1pm, 2pm-6pm",10am-1pm,Closed,,,,,,,,,,,,https://www.cambridgeshire.gov.uk/directory/listings/great-shelford-library,your.library@cambridgeshire.gov.uk,,,,,,,,,,,,,,,,,,,,,
Cambridgeshire,Haddenham Library,Arkenstall Centre,7 Station Road,"Haddenham, Ely",CB6 3XD,Yes,Local Authority Service,2010,,"2.30pm-5pm, 6pm-7.30pm",10am-12pm,2.30-5pm,Closed,"2.30pm-5pm, 6pm-7.30pm",10am-12pm,Closed,,,,,,,,,Yes,Community Centre,,https://www.cambridgeshire.gov.uk/directory/listings/haddenham-library,your.library@cambridgeshire.gov.uk,,,,,,,,,,,,,,,,,,,,,
Cambridgeshire,Histon Library,School Hill,Histon,Cambridge,CB24 9JE,Yes,Local Authority Service,1975,,9am-1pm,2pm-5pm,Closed,9am-5pm,11am-7pm,9am-1pm,Closed,,,,,,,,,,,,https://www.cambridgeshire.gov.uk/directory/listings/histon-library,your.library@cambridgeshire.gov.uk,,,,,,,,,,,,,,,,,,,,,
Cambridgeshire,Huntingdon Library,Huntingdon Library and Archives Centre,Princes Street,Huntingdon,PE29 3PA,Yes,Local Authority Service,2009,,9.30am-5pm,9.30am-5pm,9.30am-7pm,9.30am-1.30pm,9.30am-5pm,10am-4pm,Closed,,,,,,,,,Yes,Archives & Registrars,,https://www.cambridgeshire.gov.uk/directory/listings/huntingdon-library-and-archives,your.library@cambridgeshire.gov.uk,,,,,,,,,,,,,,,,,,,,,
Cambridgeshire,Linton Library,Cathodean Centre,Horseheath Road,Linton,CB21 4LU,Yes,Local Authority Service,1999,,Closed,10am-5pm,4pm-7pm,2pm-5pm,10am-5pm,10am-1pm,Closed,,,,,,,,,Yes,Community Centre,,https://www.cambridgeshire.gov.uk/directory/listings/linton-library,your.library@cambridgeshire.gov.uk,,,,,,,,,,,,,,,,,,,,,
Cambridgeshire,Little Downham Library,Village Centre,Main Street,"Little Downham, Ely",CB6 2ST,No,Community Library,2000,,7pm-9pm,Closed,2pm-4.30pm,Closed,10am-1pm,Closed,Closed,,,,,,,,,Yes,Community Centre,,https://www.cambridgeshire.gov.uk/directory/listings/little-downham-library-access-pont,your.library@cambridgeshire.gov.uk,,,,,,,,,,,,,,,,,,,,,
Cambridgeshire,Littleport Library,Town Hall,,Littleport,CB6 1LU,Yes,Local Authority Service,2010,,10am-5pm,Closed,10am-5pm,2pm-5pm,10am-1pm,10am-1pm,Closed,,,,,,,,,,,,https://www.cambridgeshire.gov.uk/directory/listings/littleport-library,your.library@cambridgeshire.gov.uk,,,,,,,,,,,,,,,,,,,,,
Cambridgeshire,March Library,City Road,,March,PE15 9LT,Yes,Local Authority Service,2000,,9.30am-5pm,9.30am-5pm,9.30am-1pm,9.30am-7pm,9.30am-5pm,9.30am-4pm,Closed,,,,,,,,,Yes,Registrars,,https://www.cambridgeshire.gov.uk/directory/listings/march-library,your.library@cambridgeshire.gov.uk,,,,,,,,,,,,,,,,,,,,,
Cambridgeshire,Melbourn Library ,Melbourn Community Hub,30 High Street,Royston,SG6 6DZ,No,Community Library,2010,,2.30pm-4.30pm,2.30pm-4.30pm,2.30pm-4.30pm,2.30pm-6.30pm,2.30pm-4.30pm,10am-12pm,Closed,,,,,,,,,Yes,Community Centre,,https://www.cambridgeshire.gov.uk/directory/listings/melbourn-library,your.library@cambridgeshire.gov.uk,,,,,,,,,,,,,,,,,,,,,
Cambridgeshire,Milton Road Library,Ascham Road,,Cambridge,CB4 2BD,Yes,Local Authority Service,1936,,9am-5pm,Closed,9am-5pm,3pm-6pm,3pm-6pm,10am-3pm,Closed,,,,,,,,,,,,https://www.cambridgeshire.gov.uk/directory/listings/milton-road-library,your.library@cambridgeshire.gov.uk,,,,,,,,,,,,,,,,,,,,,
Cambridgeshire,Papworth Library,Lower Pendrill Court,Ermine Street North,Papworth Everard,CB23 3UY,Yes,Local Authority Service,2000,,Closed,"10am-1pm, 2pm-5pm",10am-1pm,2pm-5pm,Closed,10am-1pm,Closed,,,,,,,,,,,,https://www.cambridgeshire.gov.uk/directory/listings/papworth-library,your.library@cambridgeshire.gov.uk,,,,,,,,,,,,,,,,,,,,,
Cambridgeshire,Ramsey Library,25 Great Whyte,Ramsey,Cambridgeshire,PE26 1HG,Yes,Local Authority Service,2011,,Closed,10am-5pm,4pm-7pm,10am-5pm,10am-1pm,10am-1pm,Closed,,,,,,,,,Yes,"District Council, Children’s Centre & Community group",,https://www.cambridgeshire.gov.uk/directory/listings/ramsey-library,your.library@cambridgeshire.gov.uk,,,,,,,,,,,,,,,,,,,,,
Cambridgeshire,Rock Road Library,69 Rock Road,,Cambridge,CB1 7UG,Yes,Local Authority Service,,,9am-1pm,9am-5pm,Closed,9am-5pm,3pm-6pm,10am-2pm,Closed,,,,,,,,,,,,https://www.cambridgeshire.gov.uk/directory/listings/rock-road-library,your.library@cambridgeshire.gov.uk,,,,,,,,,,,,,,,,,,,,,
Cambridgeshire,Sawston Library,Swaston Village College,New Road,Sawston,CB22 3BP,Yes,Local Authority Service,1930,,2pm-6pm,3pm-7pm,"10am-1pm,   2pm-5pm",Closed,"10am-1pm, 2pm-6pm",10am-1pm,Closed,,,,,,,,,Yes,Village College,,https://www.cambridgeshire.gov.uk/directory/listings/sawston-library,your.library@cambridgeshire.gov.uk,,,,,,,,,,,,,,,,,,,,,
Cambridgeshire,Sawtry Library,Sawtry Community Centre,Green End Road,Sawtry,PE28 5UX,Yes,Local Authority Service,1976,,Closed,3pm-7pm,"10am-1pm,   2pm-5pm",Closed,3pm-5pm,9.30am-12.30pm,Closed,,,,,,,,,Yes,Community Centre,,https://www.cambridgeshire.gov.uk/directory/listings/sawtry-library,your.library@cambridgeshire.gov.uk,,,,,,,,,,,,,,,,,,,,,
Cambridgeshire,Soham Library,Clay Street,,Soham,CB7 5HJ,Yes,Local Authority Service,1863,,9am-5pm,9am-1pm,Closed,9am-5pm,2pm-5pm,9am-1pm,Closed,,,,,,,,,Yes,Nursery & Neighbourhoods Team,,https://www.cambridgeshire.gov.uk/directory/listings/soham-library,your.library@cambridgeshire.gov.uk,,,,,,,,,,,,,,,,,,,,,
Cambridgeshire,Somersham Community Library,Church Street,,Somersham,PE28 3EG,Yes,Local Authority Service,2010,,2pm-6pm,"10am-12pm, 2pm-6pm",Closed,2pm-7pm,2pm-6pm,10am-12.30pm,Closed,,,,,,,,,,,,https://www.cambridgeshire.gov.uk/directory/listings/somersham-community-library,your.library@cambridgeshire.gov.uk,,,,,,,,,,,,,,,,,,,,,
Cambridgeshire,St Ives Library,4 Library Row,Station Road,St Ives,PE27 5BW,Yes,Local Authority Service,1992,,9.30-5pm,9.30-5pm,9.30-5pm,"9..30am-1pm, 1.30pm-6pm",9.30-7pm,9.30-4pm,12pm-4pm,,,,1.30pm-6pm,,,12pm-4pm,,,,,https://www.cambridgeshire.gov.uk/directory/listings/st-ives-library,your.library@cambridgeshire.gov.uk,,,,,,,,,,,,,,,,,,,,,
Cambridgeshire,St Neots Library,Priory Lane,,St Neots,PE19 2BH,Yes,Local Authority Service,1985,,9.30-5pm,9.30-5pm,1.30pm-7pm,9.30-5pm,9.30-5pm,9.30-4pm,Closed,,,,,,,,,,,,https://www.cambridgeshire.gov.uk/directory/listings/st-neots-library,your.library@cambridgeshire.gov.uk,,,,,,,,,,,,,,,,,,,,,
Cambridgeshire,Swavesey Community Library,Gibraltar Lane,,Swavesey,CB24 4RS,No,Community Library,2010,,Closed,3.30pm-5.30pm,6pm-8pm,6pm-8pm,Closed,10am-12pm,Closed,,,,,,,,,Yes,Village College,Opening Notes:The Library is open on 1st and 3rd Saturday of each month - 10am to 12pm.,https://www.cambridgeshire.gov.uk/directory/listings/swavesey-library,your.library@cambridgeshire.gov.uk,,,,,,,,,,,,,,,,,,,,,
Cambridgeshire,Warboys Library,High Street,Warboys,Huntingdon,PE28 2TA,Yes,Local Authority Service,,,2pm-5pm,10am-1pm,Closed,"10am-1pm, 2pm-5pm",Closed,10am-1pm,Closed,,,,,,,,,,,,https://www.cambridgeshire.gov.uk/directory/listings/warboys-library,your.library@cambridgeshire.gov.uk,,,,,,,,,,,,,,,,,,,,,
Cambridgeshire,Waterbeach Community Library,Community Centre,High Street,Waterbeach,CB25 9JU,No,Community Library,2010,,3pm-5.15pm,Closed,"3pm-5.15pm, 6pm-8pm",Closed,3pm-6pm,10am-12pm,Closed,,,,,,,,,Yes,Community Primary School,,https://www.cambridgeshire.gov.uk/directory/listings/waterbeach-library,your.library@cambridgeshire.gov.uk,,,,,,,,,,,,,,,,,,,,,
Cambridgeshire,Whittlesey Library,31-35 Market Street,,Whittlesey,PE7 1BA,Yes,Local Authority Service,,,9am-5pm,9am-1pm,9am-12pm,Closed,9am-5pm,9am-1pm,Closed,,,,,,,,,Yes,District Council,,https://www.cambridgeshire.gov.uk/directory/listings/whittlesey-library,your.library@cambridgeshire.gov.uk,,,,,,,,,,,,,,,,,,,,,
Cambridgeshire,Willingham Library,Church Street,,Willingham,CB24 5HS,Yes,Local Authority Service,,,Closed,"10am-1pm, 2pm-5pm",Closed,4pm-7pm,10am-1pm,10am-1pm,Closed,,,,,,,,,,,,https://www.cambridgeshire.gov.uk/directory/listings/willingham-library,your.library@cambridgeshire.gov.uk,,,,,,,,,,,,,,,,,,,,,
Cambridgeshire,Wisbech Library,Ely Place,,Wisbech,PE13 1EU,Yes,Local Authority Service,1975,,9.30-1pm,9.30-7pm,9.30-5pm,9.30-5pm,9.30-5pm,9am-4pm,Closed,,,,,,,,,Yes,Archives,,https://www.cambridgeshire.gov.uk/directory/listings/wisbech-library,your.library@cambridgeshire.gov.uk,,,,,,,,,,,,,,,,,,,,,
Cambridgeshire,Yaxley Library,Landsowne Road,,Yaxley,PE7 3JL,Yes,Local Authority Service,1975,,3pm-7pm,9.30am-5pm,Closed,9.30am-5pm,9.30am-1.30am,9.30am-1.30am,Closed,,,,,,,,,,,,https://www.cambridgeshire.gov.uk/directory/listings/yaxley-library,your.library@cambridgeshire.gov.uk,,,,,,,,,,,,,,,,,,,,,
